name,short_name,slug,dorm_type,has_ac,size,campus_side,address,dining,female_only,freshmen_only,open_gender,blurb,singles,doubles,triples,cost,dist_to_tech,dist_to_norris,dist_to_bk,dist_to_kresge,room_dimensions,freshmen,sophomores,juniors,seniors,video_embed
Jones Fine and Performing Arts Residential College,Jones,jones,College,True,118,South,1820 Sheridan Road,False,False,False,False,"Jones Residential College is a smaller residential college designed to foster a community for creative people, especially those interested in performing and fine arts. Located on the southernmost tip of campus, the dorm is home to mostly freshmen and sophomores, many of whom are pursuing music or theater.",20,49,0,2735,14,6,7,4,"14'4"" by 11'8""",91,14,0,1,"<iframe src=""http://player.vimeo.com/video/66217958"" width=""660"" height=""371"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe> <p><a href=""http://vimeo.com/66217958"">Jones - NBN Housing Guide 2013</a> from <a href=""http://vimeo.com/northbynorthwestern"">North by Northwestern</a> on <a href=""http://vimeo.com"">Vimeo</a>.</p>"
North Mid-Quads Residence Hall,North Mid-Quads,north-mid-quads,Hall,False,85,South,650 Emerson Street,False,False,False,False,"Despite its misleading name, North Mid-Quads is located on South Campus, equidistant from Allison, Foster-Walker and Willard dining halls and only a few steps to downtown Evanston. Like its sister residential hall South Mid-Quads, which is just across the quad, NMQ is home to a small, cohesive community comprised of mostly freshmen.",23,31,0,2703,12,8,3,6,"14'8"" by 11'2""",50,6,11,1,http://player.vimeo.com/video/66131704
Public Affairs Residential College,Public Affairs,public-affairs,College,True,113,South,1838 Chicago Avenue,False,False,False,False,"The smallest of the trio of housing facilities that make up SHARC, Public Affairs Residential College is located on South Campus. Only loosely affiliated with its name, PARC is mostly characterized by its diverse array of students, suite-style living and small community, housing a little over 100 students. Residents of PARC typically eat meals in the Allison Residential Community dining hall, but its convenient location makes it easy to branch out, whether it’s on Northwestern’s campus or in downtown Evanston.",35,39,0,2735,10,6,4,3,"14'6"" by 11'8""",77,24,2,0,http://player.vimeo.com/video/66131705
Rogers House Residence Hall,Rogers House,rogers-house,Hall,False,49,South,647 University Place,False,False,False,False,"Rogers House is a small residence hall of less than 50 residents in the middle of sorority quad on South Campus. Floors are single-sex, and the hall is close to a number of different dining halls.",13,18,0,2703,11,7,4,5,,18,13,9,3,http://player.vimeo.com/video/66174207
Sargent Hall,Sargent Hall,sargent,Hall,False,157,North,2245 Sheridan Road,True,False,False,False,"Sargent is a mid-size residential hall located between Tech, the fraternity quad and Bobb. It houses mostly freshmen and some sophomores. There is a dining hall conveniently located on the first floor.",7,75,0,2520,4,8,16,12,"12' by 14'10""",98,42,7,0,http://player.vimeo.com/video/66174205
Shepard Residential College,Shepard,shepard,College,False,183,South,626 University Place,False,False,False,False,"Shepard Residential College is a medium-sized residential college on South Campus. It houses around 180 freshmen and sophomores and is located across from Allison Residential Hall. It is one of only two non-thematic residential colleges, meaning the students that reside here have a wide variety of interests, from theatre to engineering. Shepard hosts firesides with faculty and professors, midnight running, midnight ultimate frisbee, munchies every Thursday and several other events throughout the year.",12,84,1,2543,11,7,4,5,"15'4"" by 12'3""",113,54,3,0,http://player.vimeo.com/video/66205424
Slivka Residential College,Slivka,slivka,College,True,141,North,2332 Campus Drive,False,False,False,False,"Slivka Hall is located on North Campus within the fraternity quad and is home to both the Residential College of Science and Engineering and Lisa’s Café. It has suites with both singles and doubles, study lounges, a recreation room, a science and engineering lab, kitchens on every floor and a music practice room. It is open to all undergraduates.",74,33,0,2897,6,11,18,14,,64,35,22,13,http://player.vimeo.com/video/66131703
South Mid-Quads Residence Hall,South Mid-Quads,south-mid-quads,Hall,False,88,South,655 University Place,False,False,False,False,"South Mid-Quads (SMQ), a small hall comprised of mostly freshmen, boasts a tight-knit community and convenient location; just a short walk from downtown Evanston, the sorority quad and Willard, Allison and Foster-Walker dining halls. The hall has four co-ed floors.",20,34,0,2703,12,8,3,6,"14'8"" by 11'2""",43,20,4,1,http://player.vimeo.com/video/66175032
West Fairchild (International Studies Residential College),West Fairchild,west-fairchild,College,True,106,South,1861 Sheridan Road,False,False,False,False,"West Fairchild, or International Studies Residential College, is located on South Campus, directly next to several important class buildings for Weinberg, Communication and Medill students. The international studies theme directs a lot of dorm activities and fireside chats, but students from all schools and majors live in ISRC.",30,38,0,2735,12,5,7,1,"14'6"" by 11'7""",72,20,1,2,http://player.vimeo.com/video/66207724
Willard Residential College,Willard,willard,College,False,290,South,1865 Sherman Avenue,True,False,False,False,"Willard Residential College, named after Frances Willard, is a larger multi-thematic Residential College on South Campus. With a wide range of majors across all Northwestern schools, the “Wooshack” prides itself in social and academic diversity and quirky events.",39,115,7,2577,9,5,6,3,"18' by 12'2""",195,79,2,0,http://player.vimeo.com/video/66210189
